ID,Speed,Stamina,Field of View,Range,MilliSeconds Alive,Seconds Alive,Minutes Alive
71,1.04,1.07,0.9,0.9,59755.8,
30,0.94,0.95,1.1,1.07,60090.2,
72,1.05,1.04,1.1,1.05,61381.3,
183,1,1.02,0.93,1.04,63185,
125,0.99,1,0.9,0.95,64798.1,
62,1,1.07,0.94,0.97,65728.5,
190,1,0.93,0.97,1.06,65729,
135,0.98,0.9,0.93,0.95,66544.4,
56,0.95,0.94,1.01,0.91,71169.3,
26,0.98,0.94,0.96,1.07,72435.4,
134,1.1,1,1.02,1.07,73965.7,
185,0.96,0.92,1.06,0.92,75122,
75,1.09,1.05,1.08,1.07,76942.2,
36,1.09,1,1.05,0.96,77102,
180,1.07,1.03,1.1,1.05,77716.1,
24,1.1,0.96,0.99,0.92,79733.9,
9,1,1.1,1.02,0.9,80991.1,
161,0.99,1.06,1.01,0.99,81455.9,
137,1.03,0.91,0.92,1,81746.4,
172,0.93,1.05,0.92,1.07,83297.2,
154,0.96,1.08,0.9,1.02,84536.6,
5,1.01,0.99,1.02,0.92,84901.4,
133,0.99,0.99,1.09,1.01,86060,
111,0.95,0.95,0.98,1.08,87912.2,
59,0.9,0.98,1,1.05,89025.6,
99,1.01,1.02,1,0.9,92135.8,
100,1.07,1.02,0.92,0.93,93557.3,
85,0.94,0.91,1.1,1.05,94328.8,
162,0.97,1.1,0.95,1.06,94658.8,
17,1,1.08,0.91,0.92,95643,
174,0.93,0.98,0.91,0.95,95733.3,
18,1.06,1.04,0.98,0.93,97158.7,
49,1,1.04,1.01,1,98532.2,
12,1.08,1.04,0.93,1.04,98958.3,
38,1.01,0.91,0.97,1.1,99818.9,
53,0.98,1.06,0.92,1.07,102390,
6,1.01,0.98,0.97,1.08,103399,
44,1.09,0.97,1.02,1.1,103410,
155,1.07,0.93,0.99,1.01,104614,
176,1.04,1.02,1.03,0.92,105529,
147,0.94,1.02,1.02,0.93,105774,
151,1.08,0.91,1.03,0.96,107725,
187,1.1,0.99,0.93,0.93,110058,
81,1.04,1.04,0.92,1.07,111189,
158,0.91,1.1,0.93,0.92,112191,
